,X,X.x,collarid,Number_of_fixes,Date_Start,DateStop,Duration,Variogram_inspection,Variogram_inspection_MBB,VariogramInspection_Jared,VariogramNotes_Jared,collartype,Name,giraffeid,duplicate,collarid_2,unit_ID,Attachment,species,subspecies,taxa,utm_zone,epsg,gmt_diff,Country,Park_location,year,Operation,date_collared,sex,age_class,LAST_FIX,failure_class,ID,model,tau_pos_lcl,tau_pos_ucl,tau_vel_lcl,tau_vel_ucl,tau_vel_ml,speed_lcl,speed_ucl,speed_ml,DOF_mean,DOF_area,DOF_speed,X.y,file_name,akde_95_lcl,akde_95_ML,akde_95_ucl,akde_95_DOF_area,akde_95_DOF_bandwidth,akde_50_lcl,akde_50_ML,akde_50_ucl,akde_50_DOF_area,akde_50_DOF_bandwidth,ProtectedArea,temp_mean,temp_sd,ndvi_mean,ndvi_sd,Bare,Closed.Deciduous.Forest,Closed.Evergreen.Forest,ClosedToOpen.herbaceous,ClosedToOpen.SemiDeciduous.Forest,ClosedToOpen.shrubland,Flooded.Forest_ClosedToOpen,Flooded.Grassland,Mosaic.Croplands,Mosaic.ForestShrubland,Mosaic.grassland,Mosaic.Vegetation,Open.Deciduous.Forest,Open.Evergreen.Forest,Rainfed.Croplands,Spare.Vegetation,Urban,Water,habitat,hfp2009_mean,hfp2009_sd,human_density_mean,human_density_sd,woody_mean,woody_sd,cop_bare_mean,cop_bare_sd,cop_tree_mean,cop_tree_sd,cop_shrub_mean,cop_shrub_sd
82,82,93,IRI2016-3089,21106,3/17/2019,1/1/2022,1021,good,good,1,0,IP103,MFCA_NG_16,Murch_17_2002,no,iri2016-3089,3089,OssiUnit,camelopardalis,camelopardalis,camelopardalis_camelopardalis,33S,32733,3,Uganda,UGA_MurchisonFalls,2019,MFNP_2019,3/17/2019,female,,12/31/2022,active,IRI2016-3089,OUF anisotropic,9.756855999,12.24169945,35.37703688,37.16209938,36.25858465,15.24508393,15.450424,15.34775868,49.33094835,94.2553921,21460.28164,4,0,339.125794,419.5295406,508.3583622,94.2553921,282.6330752,339.125794,419.5295406,508.3583622,94.2553921,282.6330752,0.999911626,30.49530523,6.989889907,0.59032689,0.129567651,0,0,0,8.84E-05,0,0.159096934,0,0,0.819386763,0.001899797,0,0.003976319,0.013961297,0,0.001457984,0,8.84E-05,4.42E-05,Mosaic Croplands,10.50574985,4.160115715,32.97456802,12.67992975,7.412354735,11.19626442,1.047059343,1.19597354,8.875613097,2.694808112,18.39406124,2.769138695
83,83,94,IRI2016-3138,9837,3/17/2019,5/11/2020,421,good,lessthanstellar,0,Not a great variogram.  Let's discuss.,IP103,MFCA_NG_14,IRI2016-3138,no,iri2016-3138,3138,OssiUnit,camelopardalis,camelopardalis,camelopardalis_camelopardalis,36N,32636,3,Uganda,UGA_MurchisonFalls,2019,MFNP_2019,3/17/2019,male,,5/11/2020,fell off,IRI2016-3138,OUF anisotropic,24.52538546,48.08725756,34.23830569,36.92079892,35.55426275,13.82978898,14.11545929,13.97263417,9.572121851,16.06552788,9189.986716,11,0,533.0213212,931.3158334,1438.920427,16.06552788,24.8458188,533.0213212,931.3158334,1438.920427,16.06552788,24.8458188,1,28.08832213,5.814399949,0.654784395,0.125268228,0,0,0,0,0.001931483,0.08295212,0,0,0.768120362,0.001219884,0.000101657,0.01870489,0.126969605,0,0,0,0,0,Mosaic Croplands,7.519939974,3.094997846,33.39757611,6.867755245,18.24956796,21.3129538,0.381417099,0.820198143,13.78397886,9.166515456,19.10053878,3.959632203
84,84,95,IRI2016-3134,1533,3/17/2019,9/5/2020,538,bad,bad,0,Very strange animal.  For us to discuss.,IP103,MFCA_NG_13,IRI2016-3134,no,iri2016-3134,3134,OssiUnit,camelopardalis,camelopardalis,camelopardalis_camelopardalis,36N,32636,3,Uganda,UGA_MurchisonFalls,2019,MFNP_2019,3/17/2019,male,,9/5/2020,sudden failure,IRI2016-3134,OUF anisotropic,7.157521301,11.34206812,40.18725599,48.61741654,44.2018163,12.89734401,13.60087046,13.24917117,24.70575524,30.54395777,1362.263136,8,0,170.1294489,251.1842312,347.7801073,30.54395777,27.88439975,170.1294489,251.1842312,347.7801073,30.54395777,27.88439975,1,25.40961413,5.065229529,0.606955507,0.117842726,0,0,0,0,0.019607843,0.152941176,0,0,0.652287582,0.00130719,0,0.071895425,0.101960784,0,0,0,0,0,Mosaic Croplands,7.101377705,3.899081732,29.39705704,2.2657199,22.33007175,16.91101314,0.726679713,1.236012814,13.77560339,8.436400352,18.3816047,3.969840712
85,85,96,ST2010-2965,4610,4/2/2019,10/12/2019,193,good,ok,1,0,IP103,HNBM056,Ben,no,st2010-2965,2965,OssiUnit,giraffa,angolensis,giraffa_angolensis,33S,32733,2,Namibia,NAM_Northwest,2019,Namibia_2019,4/2/2019,male,,10/12/2019,voltage drop,ST2010-2965,OUF anisotropic,27.04865963,143.7635183,48.9545002,54.17871313,51.50040604,19.19253308,19.76578375,19.47918739,4.561087005,5.858494856,4435.400286,9,0,1202.933716,3327.722797,6514.481644,5.858494856,8.281371594,1202.933716,3327.722797,6514.481644,5.858494856,8.281371594,0,24.19982099,7.863869475,0.110089653,0.022623527,0.047722343,0,0,0.271583514,0,0,0,0,0,0,0,0,0,0,0,0.680694143,0,0,Spare Vegetation,3.574526313,2.297446727,0.702938497,3.076938523,7.396963124,8.941622069,77.95119306,19.50553892,2.802386117,5.059399261,6.55813449,5.727198888
86,86,97,IRI2016-3133,22498,4/3/2019,1/1/2022,1004,bad,bad,0,Strange one.  For us to discuss.,IP103,HSBF010,Louise,no,iri2016-3133,3133,OssiUnit,giraffa,angolensis,giraffa_angolensis,33S,32733,2,Namibia,NAM_Northwest,2019,Namibia_2019,4/3/2019,female,,12/31/2022,active,IRI2016-3133,OUF anisotropic,2.16388285,4.561864203,39.80152106,41.68915022,40.73440303,13.62335768,13.80211271,13.7127392,8.853635198,13.92648647,22606.06274,1,0,1360.974757,2493.964915,3964.391848,13.92648647,22.25501954,1360.974757,2493.964915,3964.391848,13.92648647,22.25501954,0,26.16830489,7.674628936,0.114292868,0.03114399,0.383213349,0,0,0.282967833,0,0,0,0,0,0,0,0,0,0,0,0.333818817,0,0,Bare,4.736781663,2.488513326,0.138353367,0.191245115,11.42257917,12.46316205,68.60700762,24.72349847,5.461903375,6.27776686,9.530065332,7.078179524
87,87,99,IRI2016-3190,8557,6/10/2019,7/8/2020,394,good,ok,1,0,IP103,,No3,no,iri2016-3190,3190,OssiUnit,giraffa,giraffa,giraffa_giraffa,36S,32737,2,Zimbabwe,ZWE_Save,2019,Zim_2019,6/10/2019,female,,7/8/2020,fell off,IRI2016-3190,OUF anisotropic,8.219049833,11.94106489,28.42977386,31.0727156,29.72188213,11.25096742,11.53072504,11.39085803,24.56958224,40.11328632,6368.455869,9,0,119.4873471,167.1658623,222.7243196,40.11331554,90.91640449,119.4873471,167.1658623,222.7243196,40.11331554,90.91640449,1,27.73888302,7.493058778,0.43092836,0.137912654,0,0,0,0.259670445,0,0.136262709,0,0,0,0.092438939,0.01484165,0.42234428,0.074441977,0,0,0,0,0,Mosaic Vegetation,11.41756737,2.515419868,41.82517242,1.49E-07,25.74453664,18.66088941,0.556737174,1.116292289,19.08951735,9.610795741,33.80892836,5.721613651
88,88,100,IRI2016-3191,5058,6/10/2019,1/11/2020,215,good,good,1,0,IP103,,No7,no,iri2016-3191,3191,OssiUnit,giraffa,giraffa,giraffa_giraffa,36S,32737,2,Zimbabwe,ZWE_Save,2019,Zim_2019,6/10/2019,female,,1/11/2020,sudden failure,IRI2016-3191,OUF anisotropic,2.988624567,3.940873496,27.58135915,31.02928998,29.25457214,11.2571634,11.62126141,11.4392323,36.63363167,67.95302335,3791.706867,10,0,52.99345981,68.2494738,85.40603361,67.95303878,174.6083027,52.99345981,68.2494738,85.40603361,67.95303878,174.6083027,1,27.9983155,7.807542231,0.355162929,0.094283558,0,0,0,0.453341242,0,0.09252669,0,0,0,0.012653223,0.036180308,0.159549229,0.245749308,0,0,0,0,0,ClosedToOpen herbaceous,10.62010194,2.37308505,42.11870933,1.587039778,24.57651246,18.23286028,1.500988533,1.893156344,20.85191775,16.98718291,27.52807434,5.775315063
89,89,101,IRI2016-3181,6336,6/10/2019,2/29/2020,264,bad,bad,0,Not a great variogram.  Let's discuss.,IP103,,No1,no,iri2016-3181,3181,OssiUnit,giraffa,giraffa,giraffa_giraffa,36S,32737,2,Zimbabwe,ZWE_Save,2019,Zim_2019,6/10/2019,female,,2/29/2020,voltage drop,IRI2016-3181,OUF anisotropic,12.88544315,23.29052412,15.77879199,18.50941073,17.08965014,13.37842192,14.08142074,13.72998295,11.23108864,19.37389604,1465.139121,4,0,115.1620435,190.2207095,283.8080363,19.37398877,31.6413485,115.1620435,190.2207095,283.8080363,19.37398877,31.6413485,1,28.36787072,7.723016408,0.397543691,0.160829885,0,0,0,0.509943182,0,0.02572601,0,0,0,0.02667298,0.018465909,0.355113636,0.064078283,0,0,0,0,0,ClosedToOpen herbaceous,11.38679805,2.676698877,41.82621165,0.082737757,21.61963384,18.37514586,0.835700758,1.31891494,13.86821338,8.245339821,31.30713384,4.902849671
90,90,102,IRI2016-3188,8374,6/10/2019,6/5/2020,361,good,ok,0,Eh.  Also reaches an asymptote.  Discussion animal.,IP103,,No5,no,iri2016-3188,3188,OssiUnit,giraffa,giraffa,giraffa_giraffa,36S,32737,2,Zimbabwe,ZWE_Save,2019,Zim_2019,6/10/2019,female,,6/5/2020,fell off,IRI2016-3188,OUF anisotropic,14.1967865,23.72006426,33.60245473,36.51359074,35.02779296,11.04290455,11.29516875,11.16904644,13.68894161,23.99968709,7530.221781,8,0,193.4164753,301.8751643,434.0885464,23.99968003,42.25567438,193.4164753,301.8751643,434.0885464,23.99968003,42.25567438,1,27.41445275,7.488162707,0.391991484,0.137482704,0,0,0,0.601862909,0,0.03164557,0,0,0,0.039049439,0.018987342,0.281347027,0.027107714,0,0,0,0,0,ClosedToOpen herbaceous,9.926707821,2.756758269,41.83225052,0.21580352,20.07415811,18.66281977,0.89515166,1.645522505,13.207786,8.978073882,32.01647958,5.801461882
91,91,103,IRI2016-3179,1734,6/10/2019,1/8/2020,212,bad,bad,1,0,IP103,,No4,no,iri2016-3179,3179,OssiUnit,giraffa,giraffa,giraffa_giraffa,36S,32737,2,Zimbabwe,ZWE_Save,2019,Zim_2019,6/10/2019,female,,1/8/2020,sudden failure,IRI2016-3179,OUF anisotropic,4.130128303,6.570246282,37.65275577,45.14456733,41.22884146,14.23046316,14.95160862,14.59109693,19.81494617,29.50024798,1572.4668,2,0,140.6061136,209.161801,291.1153106,29.50024039,39.44361609,140.6061136,209.161801,291.1153106,29.50024039,39.44361609,1,20.17924855,4.599237057,0.41679015,0.097160369,0,0,0,0.209677419,0,0.037442396,0,0,0,0.169930876,0.031682028,0.391705069,0.159562212,0,0,0,0,0,Mosaic Vegetation,9.145518359,2.645588314,41.82517226,7.66E-07,39.89850058,22.70005804,0.326412918,0.918254412,24.46020761,8.392862159,34.95732411,5.68051315
92,92,104,IRI2016-3178,6650,6/10/2019,4/17/2020,312,good,ok,0,Not a great variogram.  Let's discuss.,IP103,,No2,no,iri2016-3178,3178,OssiUnit,giraffa,giraffa,giraffa_giraffa,36S,32737,2,Zimbabwe,ZWE_Save,2019,Zim_2019,6/10/2019,female,,4/17/2020,fell off,IRI2016-3178,OUF anisotropic,10.32322485,16.46748358,21.75681479,24.48277509,23.07958412,12.88118534,13.32323201,13.10223428,16.03554123,27.87441776,3374.65804,1,0,139.9744036,210.8623693,296.0427896,27.8744432,48.05842358,139.9744036,210.8623693,296.0427896,27.8744432,48.05842358,1,27.999546,7.94845433,0.439355303,0.137269432,0,0,0,0.258045113,0,0.079699248,0,0,0,0.132481203,0.011729323,0.442556391,0.075488722,0,0,0,0,0,Mosaic Vegetation,10.31189642,2.786449958,41.8251724,3.16E-07,30.62691729,21.0930281,0.521654135,1.097953483,21.34541353,9.9305271,33.80511278,6.087241442
93,93,105,IRI2016-3183,10134,6/10/2019,11/4/2020,513,good,good,1,Amazing.  Perfect.,IP103,,No6,no,iri2016-3183,3183,OssiUnit,giraffa,giraffa,giraffa_giraffa,36S,32737,2,Zimbabwe,ZWE_Save,2019,Zim_2019,6/10/2019,female,,11/4/2020,voltage drop,IRI2016-3183,OUF anisotropic,2.876521903,3.428714259,35.30351766,38.04993618,36.65101082,13.11968797,13.38542976,13.25256802,84.30823205,154.2442418,9553.646809,5,0,88.85501119,104.7307125,121.8920327,154.2442382,498.9391267,88.85501119,104.7307125,121.8920327,154.2442382,498.9391267,1,27.59783511,6.805058763,0.37840408,0.11014661,0,9.87E-05,0,0.607460036,0,0.059996053,0,0,0,0.013814881,0.028024472,0.198342214,0.092263667,0,0,0,0,0,ClosedToOpen herbaceous,11.20119241,2.775450938,42.9609972,3.192632503,17.67919874,13.86302875,2.101045984,1.925292984,13.24600355,9.983711758,28.16528518,5.065037852
