,X,X.x,collarid,Number_of_fixes,Date_Start,DateStop,Duration,Variogram_inspection,Variogram_inspection_MBB,VariogramInspection_Jared,VariogramNotes_Jared,collartype,Name,giraffeid,duplicate,collarid_2,unit_ID,Attachment,species,subspecies,taxa,utm_zone,epsg,gmt_diff,Country,Park_location,year,Operation,date_collared,sex,age_class,LAST_FIX,failure_class,ID,model,tau_pos_lcl,tau_pos_ucl,tau_vel_lcl,tau_vel_ucl,tau_vel_ml,speed_lcl,speed_ucl,speed_ml,DOF_mean,DOF_area,DOF_speed,X.y,file_name,akde_95_lcl,akde_95_ML,akde_95_ucl,akde_95_DOF_area,akde_95_DOF_bandwidth,akde_50_lcl,akde_50_ML,akde_50_ucl,akde_50_DOF_area,akde_50_DOF_bandwidth,ProtectedArea,temp_mean,temp_sd,ndvi_mean,ndvi_sd,Bare,Closed.Deciduous.Forest,Closed.Evergreen.Forest,ClosedToOpen.herbaceous,ClosedToOpen.SemiDeciduous.Forest,ClosedToOpen.shrubland,Flooded.Forest_ClosedToOpen,Flooded.Grassland,Mosaic.Croplands,Mosaic.ForestShrubland,Mosaic.grassland,Mosaic.Vegetation,Open.Deciduous.Forest,Open.Evergreen.Forest,Rainfed.Croplands,Spare.Vegetation,Urban,Water,habitat,hfp2009_mean,hfp2009_sd,human_density_mean,human_density_sd,woody_mean,woody_sd,cop_bare_mean,cop_bare_sd,cop_tree_mean,cop_tree_sd,cop_shrub_mean,cop_shrub_sd
1,1,1,ST2010-2610,141898,1/25/2017,10/31/2019,1009,bad,bad,0,Problem,IP103,ST2010-2610,ST2010-2610,no,st2010-2610,2610,OssiUnit,giraffa,angolensis,giraffa_angolensis,33S,32733,2,Namibia,NAM_Okapuka,2017,Namibia_2017,1/25/2017,female,,10/31/2019,voltage drop,ST2010-2610,OUF anisotropic,1.834063889,3.729206776,9.614916523,16.67906567,12.66364182,13.45606853,16.14316766,14.80041019,10.74758635,15.52204981,116.3774536,19,0,12.08682605,21.35377344,33.21437627,15.52204981,25.13913024,12.08682605,21.35377344,33.21437627,15.52204981,25.13913024,0,23.22501798,6.623967002,0.218229016,0.0662956,0,0,0,0.997434813,0,0,0,0,0,0.000218464,0.001973221,0.000183228,0.000190275,0,0,0,0,0,ClosedToOpen herbaceous,13.54235992,3.154044957,0.430242597,0.178485141,9.472903071,7.297632079,5.954227685,3.991320305,2.41483319,1.958096546,15.48092996,4.625445967
2,2,2,ST2010-2611,25267,1/25/2017,9/1/2017,219,bad,unknown,0,Problem.  Does the start need to be truncated?,IP103,ST2010-2611,ST2010-2611,no,st2010-2611,2611,OssiUnit,giraffa,angolensis,giraffa_angolensis,33S,32733,2,Namibia,NAM_Okapuka,2017,Namibia_2017,1/25/2017,female,,12/21/2019,death,ST2010-2611,OUF anisotropic,22.19625021,35.59792727,48.81146354,52.316736,50.53371599,12.549636,12.82824143,12.68894923,17.30825258,27.29567625,7968.186974,20,0,285.5034631,432.1506458,608.70882,27.29567625,45.02001727,285.5034631,432.1506458,608.70882,27.29567625,45.02001727,0,14.57333147,6.900344178,0.274308244,0.096421049,0,0,0,0.337027508,0,0,0,0,0,0.000831189,0.003601821,0.000712448,0.000118741,0,0,3.96E-05,0.657668712,0,Urban,25.99667105,11.44345609,515.7714408,380.801353,128.8004512,84.54546774,1.972018839,3.420613157,0.866624451,1.911922336,8.580361737,13.09456858
3,3,3,ST2010-2719,16498,6/4/2017,10/26/2019,874,good,bad,1,0,IP103,,ST2010-2719,no,st2010-2719,2719,OssiUnit,reticulata,,reticulata,37N,32637,3,Kenya,KEN_NorthernKenya,2017,Kenya_2017,6/4/2017,female,,10/26/2019,voltage drop,ST2010-2719,OUF anisotropic,11.17612804,14.49714801,35.61241192,37.72241964,36.65223522,12.77663013,12.97896581,12.87780343,39.72866434,74.11220249,15560.7408,19,0,252.6856761,321.7418869,399.0137948,74.11220249,169.9371712,252.6856761,321.7418869,399.0137948,74.11220249,169.9371712,0.005576434,27.3669073,6.539841903,0.356127007,0.126436343,0,0,0,0,0,0,0,0,0.091708086,0.00800097,0,0.760880107,0,0,0.004424779,0.134986059,0,0,Mosaic Vegetation,7.643966822,2.275491883,12.89662092,5.208502353,12.51666869,8.027668995,1.028427688,1.839463332,7.947448176,3.378377573,19.6460177,2.8505302
4,4,4,ST2010-2720,288,6/4/2017,6/16/2017,12,bad,,#N/A,#N/A,IP103,,ST2010-2720,no,st2010-2720,2720,OssiUnit,reticulata,,reticulata,37N,32637,3,Kenya,KEN_NorthernKenya,2017,Kenya_2017,6/4/2017,female,,6/16/2017,death,ST2010-2720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27.0958042,6.913996728,0.268731944,0.024576629,0,0,0,0,0,0,0,0,0.003472222,0.003472222,0,0.975694444,0,0,0,0.017361111,0,0,Mosaic Vegetation,7.375142626,2.470149142,9.11235255,0.53245827,13.40625,8.183749673,0.368055556,1.105869849,10.30555556,3.411964556,20.36458333,3.14831892
5,5,5,ST2010-2718,1200,6/5/2017,7/25/2017,50,good,ok,1,0,IP103,,ST2010-2718,no,st2010-2718,2718,OssiUnit,reticulata,,reticulata,37N,32637,3,Kenya,KEN_NorthernKenya,2017,Kenya_2017,6/5/2017,male,,7/25/2017,sudden failure,ST2010-2718,OUF anisotropic,3.827602813,9.166631281,45.40599642,55.91554893,50.3875105,13.0631337,13.84026745,13.45177735,7.459331096,11.68983684,1150.807615,18,0,105.1194739,205.5177326,339.0083942,11.68983684,16.97992417,105.1194739,205.5177326,339.0083942,11.68983684,16.97992417,0,25.38294314,6.729031093,0.291174729,0.034890352,0,0,0,0,0,0,0,0,0.0575,0,0,0.756666667,0,0,0,0.185833333,0,0,Mosaic Vegetation,7.86432022,2.656431846,6.57856614,1.637746393,19.94916667,11.66318743,0.505833333,1.420086797,9.3275,2.837890373,18.30416667,2.689363593
6,6,6,ST2010-2724,1176,6/5/2017,7/24/2017,49,good,good,1,Okay,IP103,,ST2010-2724,no,st2010-2724,2724,OssiUnit,reticulata,,reticulata,37N,32637,3,Kenya,KEN_NorthernKenya,2017,Kenya_2017,6/5/2017,male,,7/24/2017,sudden failure,ST2010-2724,OUF anisotropic,5.91921116,20.70680396,37.06601822,46.07780594,41.32699837,17.01674598,18.02596646,17.52145562,5.110736189,7.668435437,1157.720028,21,0,206.9183108,489.8627507,892.6278352,7.668435437,9.795445254,206.9183108,489.8627507,892.6278352,7.668435437,9.795445254,0.017006803,24.68091993,6.294362937,0.290146939,0.039508012,0,0,0,0,0,0.00085034,0,0,0.027210884,0.027210884,0,0.804421769,0,0,0,0.140306122,0,0,Mosaic Vegetation,8.439352966,2.574431934,9.22447771,2.130055799,15.71088435,11.83545703,0.69047619,1.701897148,10.1462585,3.442023593,19.56972789,3.915955612
7,7,7,ST2010-2721,2544,6/6/2017,9/20/2017,106,good,ok,1,To discuss,IP103,,ST2010-2721,no,st2010-2721,2721,OssiUnit,reticulata,,reticulata,37N,32637,3,Kenya,KEN_NorthernKenya,2017,Kenya_2017,6/6/2017,female,55,9/20/2017,sudden failure,ST2010-2721,OUF anisotropic,7.938749734,18.00383978,32.47561699,37.83728591,35.05408971,14.28239286,14.87624452,14.57936017,7.649554302,12.4507995,2315.19044,20,0,176.5704558,336.9582662,548.3073766,12.4507995,17.83944822,176.5704558,336.9582662,548.3073766,12.4507995,17.83944822,0,23.83870968,5.469923163,0.271316942,0.040182669,0,0,0,0,0,0,0,0,0.051100629,0.005503145,0,0.841981132,0,0,0,0.101415094,0,0,Mosaic Vegetation,6.832439428,1.68534109,11.63147554,3.621861677,12.37617925,7.238615927,0.827437107,1.540544573,8.78577044,3.4381362,19.6120283,2.94690677
8,8,8,ST2010-2726,5232,6/10/2017,1/15/2018,219,good,good,1,0,IP103,giraffe_code1,ST2010-2726,no,st2010-2726,2726,OssiUnit,reticulata,,reticulata,37N,32637,3,Kenya,KEN_NorthernKenya,2017,Kenya_2017,6/10/2017,female,,1/15/2018,fell off,ST2010-2726,OUF anisotropic,7.56877917,12.26946501,39.88181265,44.07438984,41.92572669,13.68707275,14.06791275,13.8775107,15.40536539,26.52644612,5100.589596,23,0,192.8217418,293.7968855,415.6950056,26.52644612,50.03677367,192.8217418,293.7968855,415.6950056,26.52644612,50.03677367,0.155772171,28.21539848,6.696118146,0.301377217,0.196586465,0.047591743,0,0,0.080275229,0,0,0,0,0.060206422,0.612003058,0.000573394,0.166666667,0,0,0,0.032683486,0,0,Mosaic ForestShrubland,8.940560195,3.874580546,15.70212577,4.107650842,16.43405963,14.22460443,3.533065749,5.450078959,1.691131498,2.206283432,20.42392966,6.060797623
9,9,9,ST2010-2725,21065,6/10/2017,2/19/2020,984,good,good,1,0,IP103,,ST2010-2725,no,st2010-2725,2725,OssiUnit,reticulata,,reticulata,37N,32637,3,Kenya,KEN_NorthernKenya,2017,Kenya_2017,6/10/2017,female,,2/19/2020,voltage drop,ST2010-2725,OUF anisotropic,13.47523569,17.64013584,28.41039419,30.06295484,29.22499611,13.2174731,13.42569102,13.32158766,37.30178014,69.4451588,15724.16095,22,0,206.0102401,264.5476231,330.2937533,69.4451588,173.7770762,206.0102401,264.5476231,330.2937533,69.4451588,173.7770762,0,29.73327949,5.791205528,0.314175188,0.150831803,0.033562782,0,0,0.037075718,0,0.002610966,0,0,0.032993117,0.668217422,0.000332305,0.190980299,0,0,0,0.034227391,0,0,Mosaic ForestShrubland,6.974331807,2.073773563,20.82715013,6.304562334,18.19026822,15.22458378,4.858153335,5.77468184,4.364490862,5.802587918,18.49888441,4.323402254
10,10,10,ST2010-2738,31392,7/19/2017,7/14/2021,1456,good,good,1,0,IP103,HNBF060,Present,no,st2010-2738,2738,OssiUnit,giraffa,angolensis,giraffa_angolensis,33S,32733,2,Namibia,NAM_Northwest,2017,Namibia_2017,7/19/2017,female,,7/14/2021,replaced,ST2010-2738,OUF anisotropic,2.147459994,2.551208957,25.48933381,26.81608236,26.14429334,16.73260188,16.99017782,16.86139661,305.5504272,585.2246014,16461.46196,3,0,52.79745291,57.35042264,62.08900637,585.2246014,3606.358564,52.79745291,57.35042264,62.08900637,585.2246014,3606.358564,0.779597017,23.88087325,8.584233393,0.108944512,0.019689172,0.839515182,0,0,0.088809214,0,0,0,0,0,0,0,0,0,0,0,0.071675604,0,0,Bare,1.822612011,1.951238983,0.016175698,0.000769607,5.32184674,7.511621823,86.34472473,16.82498689,3.839631921,4.10929682,5.050547358,5.265787385
11,11,11,ST2010-2740,35389,7/19/2017,1/1/2022,1627,good,good,1,0,IP103,HNBF044,Coffee Girl,no,st2010-2740,2740,OssiUnit,giraffa,angolensis,giraffa_angolensis,33S,32733,2,Namibia,NAM_Northwest,2017,Namibia_2017,7/19/2017,female,,12/31/2022,active,ST2010-2740,OUF anisotropic,8.042312831,11.23980299,36.89291199,38.32615623,37.60270614,16.47379004,16.6464265,16.56011136,85.99686444,163.6061873,35347.25299,4,0,346.1780927,406.0086736,470.5381348,163.6061873,621.2625284,346.1780927,406.0086736,470.5381348,163.6061873,621.2625284,0.197924007,25.3585512,9.108021991,0.095339289,0.025757221,0.321589246,0,0,0.153368746,0,0,0,0,0,0,0,0,0,0,0,0.525042008,0,0,Spare Vegetation,1.223300697,0.565200103,0.034816507,0.039512405,6.147297957,7.957210068,87.33280937,18.38956611,3.339151174,4.090195996,4.091197355,5.236872594
12,12,12,ST2010-2730,144,8/15/2017,8/21/2017,6,bad,,#N/A,#N/A,IP103,giraffe_12,ST2010-2730,no,st2010-2730,2730,OssiUnit,camelopardalis,camelopardalis,camelopardalis_camelopardalis,36N,32636,3,Uganda,UGA_MurchisonFalls,2017,Twiga2,8/15/2017,female,,8/21/2017,death,ST2010-2730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,28.66478873,6.00272039,NA,NA,0,0,0,0,0,0.173611111,0,0,0.826388889,0,0,0,0,0,0,0,0,0,Mosaic Croplands,10.03241347,4.155664788,28.82482041,0.038308749,16.56944444,16.2969184,0.326388889,0.746365188,8.972222222,4.110271024,15.95833333,3.01018086
13,13,13,ST2010-2727,4861,8/17/2017,3/18/2018,213,good,good,1,0,IP103,giraffe_5,ST2010-2727,no,st2010-2727,2727,OssiUnit,camelopardalis,camelopardalis,camelopardalis_camelopardalis,36N,32636,3,Uganda,UGA_MurchisonFalls_South,2017,Twiga2,8/17/2017,male,adult,3/18/2018,voltage drop,ST2010-2727,OUF anisotropic,8.541459156,14.48542413,25.35354574,28.74790803,26.99743323,16.0754328,16.63457438,16.3550364,13.40778292,23.08633832,3286.504129,6,0,221.9686337,349.8227156,506.2900499,23.08633832,38.61034233,221.9686337,349.8227156,506.2900499,23.08633832,38.61034233,1,29.4662638,7.578740588,0.540309579,0.190264289,0,0,0,0,0.011517894,0.43747429,0,0,0.351707116,0.000822707,0,0.186754422,0.011723571,0,0,0,0,0,ClosedToOpen shrubland,2.478680255,3.367975035,44.1964059,2.425229053,20.67352397,15.0615123,0.21333059,0.6449832,15.06192142,8.655457633,22.33305904,7.337145157
14,14,14,ST2010-2729,6447,8/17/2017,5/13/2018,269,good,ok,1,"Odd, but okay",IP103,giraffe_10,ST2010-2729,no,st2010-2729,2729,OssiUnit,camelopardalis,camelopardalis,camelopardalis_camelopardalis,36N,32636,3,Uganda,UGA_MurchisonFalls_South,2017,Twiga2,8/17/2017,female,,5/13/2018,voltage drop,ST2010-2729,OUF anisotropic,17.62535152,44.06263449,26.11280123,29.07627131,27.55472543,14.01923691,14.4496831,14.23448236,8.620041401,10.75361082,4200.732397,8,0,215.9548363,436.6536236,733.7396639,10.75361082,21.37561796,215.9548363,436.6536236,733.7396639,10.75361082,21.37561796,0.995346673,29.83697518,6.743778838,0.611906776,0.181750277,0,0,0,0,0.002171553,0.10113231,0.000310222,0,0.629750271,0,0,0.202885063,0.061113696,0,0,0,0,0.002636885,Mosaic Croplands,12.80511713,4.773058507,100.2360638,31.40144848,36.98712579,19.83049459,0.465487824,1.018908349,24.57080813,10.34011604,28.48673802,9.077190065
15,15,15,ST2010-2728,1240,8/19/2017,10/29/2017,71,bad,lessthanstellar,0,To discuss,IP103,giraffe_13,ST2010-2728,no,st2010-2728,2728,OssiUnit,camelopardalis,camelopardalis,camelopardalis_camelopardalis,36N,32636,3,Uganda,UGA_MurchisonFalls_South,2017,Twiga2,8/19/2017,male,,10/29/2017,voltage drop,ST2010-2728,OUF anisotropic,5.119583055,13.30404131,24.52402261,31.55676023,27.81903488,17.52925613,18.73987658,18.13470428,6.869009728,10.35011169,861.8254676,7,0,129.832265,266.764934,452.1706105,10.35011169,12.74753374,129.832265,266.764934,452.1706105,10.35011169,12.74753374,1,28.1605178,6.236271937,0.724710726,0.052490282,0,0,0,0,0,0.451612903,0,0,0.513709677,0,0,0.020967742,0.013709677,0,0,0,0,0,Mosaic Croplands,3.640641385,3.554524972,44.75986529,2.458102047,17.8733871,15.16615326,0.184677419,0.613744163,14.29435484,7.57803421,20.94193548,6.944599132
16,16,16,ST2010-2731,6336,8/25/2017,5/18/2018,266,good,ok,1,0,IP103,giraffe_25?,ST2010-2731,no,st2010-2731,2731,OssiUnit,camelopardalis,camelopardalis,camelopardalis_camelopardalis,36N,32636,3,Uganda,UGA_MurchisonFalls_South,2017,Twiga2,8/25/2017,female,,5/18/2018,voltage drop,ST2010-2731,OUF anisotropic,6.30268217,9.253954309,25.15479014,28.10153327,26.58736865,17.46125678,18.00095524,17.73113422,22.03288389,38.40124283,4146.196252,9,0,186.1627257,262.5507929,351.865827,38.40124283,85.26500739,186.1627257,262.5507929,351.865827,38.40124283,85.26500739,1,29.17212726,6.324426185,0.568238165,0.185644775,0,0,0,0,0.004261364,0.260890152,0,0,0.622948232,0.005208333,0,0.102746212,0.003945707,0,0,0,0,0,Mosaic Croplands,4.308428168,3.490061317,42.5056808,3.278302122,19.32875631,16.11471407,0.349589646,0.793089623,14.29040404,8.905800603,20.29229798,6.226210151
17,17,17,ST2010-2746,35376,9/22/2017,1/1/2022,1562,good,good,1,0,IP103,HSBF008,Vera,no,st2010-2746,2746,OssiUnit,giraffa,angolensis,giraffa_angolensis,33S,32733,2,Namibia,NAM_Northwest,2017,Namibia_2017,9/22/2017,female,,12/31/2022,active,ST2010-2746,OUF anisotropic,15.02575409,24.80310665,36.97536644,38.43189405,37.69659621,13.22567233,13.3706974,13.29818758,41.40353766,78.53184213,32299.27162,8,0,382.033646,482.898221,595.4003125,78.53184213,219.5842746,382.033646,482.898221,595.4003125,78.53184213,219.5842746,0,27.85515339,9.261372505,0.127676648,0.034525051,0.507184687,0,0,0.279985902,0,0,0,0,0,0,0,0,0,0,0,0.212829411,0,0,Bare,5.23726198,2.655528264,0.080425736,0.053579665,10.56851209,10.89929435,63.05598634,25.72974075,8.039610671,6.354473868,11.3167227,7.679329541
18,18,18,ST2010-2747,24824,9/22/2017,8/21/2020,1064,good,ok,1,0,IP103,HSBF005,Elisabeth,no,st2010-2747,2747,OssiUnit,giraffa,angolensis,giraffa_angolensis,33S,32733,2,Namibia,NAM_Northwest,2017,Namibia_2017,9/22/2017,female,,8/21/2020,sudden failure,ST2010-2747,OUF anisotropic,18.79633257,41.75459203,37.55826566,39.3696383,38.45328769,12.78860776,12.96327866,12.87594728,19.9619308,35.59588536,20874.21228,9,0,476.5698718,681.9347992,923.5162014,35.59588536,71.58657222,476.5698718,681.9347992,923.5162014,35.59588536,71.58657222,0,27.02040731,8.807544402,0.113771866,0.031934622,0.317757009,0,0,0.182565259,0,0,0,0,0,0,0,0,0,0,0,0.499677731,0,0,Spare Vegetation,4.264118502,2.185857675,0.069991543,0.030574915,10.53113922,12.02800571,74.37129391,24.55208115,5.026264905,6.246403712,9.008097003,6.973760746
19,19,19,ST2010-2742,4839,9/23/2017,4/13/2018,202,good,ok,1,0,IP103,HSBM069,King,yes,st2010-2742,2742,OssiUnit,giraffa,angolensis,giraffa_angolensis,33S,32733,2,Namibia,NAM_Northwest,2017,Namibia_2017,9/23/2017,male,,4/13/2018,voltage drop,ST2010-2742,OUF anisotropic,5.145879104,16.30455969,35.6578185,39.69835452,37.62388497,11.92354439,12.29658463,12.11008424,11.98975415,20.21288934,4048.198062,6,0,156.3763884,255.2604002,377.9802222,20.21288934,34.51312897,156.3763884,255.2604002,377.9802222,20.21288934,34.51312897,0,27.43219769,7.542978533,0.141770758,0.045896499,0.128952263,0,0,0.569745815,0,0,0,0,0,0,0,0,0,0,0,0.301301922,0,0,ClosedToOpen herbaceous,2.123593021,0.361490935,0.34151459,0.12889388,11.05290349,9.033016202,40.56561273,21.57221027,12.08204174,5.147843768,18.97644141,9.153883039
20,20,20,ST2010-2741,3469,9/25/2017,2/17/2018,145,good,ok,1,Probably okay.  To discuss.,IP103,HNMB035,Long_tongue,no,st2010-2741,2741,OssiUnit,giraffa,angolensis,giraffa_angolensis,33S,32733,2,Namibia,NAM_Northwest,2017,Namibia_2017,9/25/2017,male,,2/17/2018,fell off,ST2010-2741,OUF anisotropic,4.453860982,22.47392835,31.54398657,36.07920474,33.7354702,18.68196541,19.39983559,19.04094693,8.224730301,12.59809589,2702.435618,5,0,291.3396689,553.5364623,898.4768068,12.59809589,19.88481345,291.3396689,553.5364623,898.4768068,12.59809589,19.88481345,0.649466705,23.5241847,6.419607966,0.124627068,0.055318429,0.593831075,0,0,0.264917844,0,0,0,0,0,0,0,0.000288268,0.000576535,0,0,0.140386278,0,0,Bare,1.47444598,1.663411828,0.016262945,0.001452752,8.056212165,10.47906738,68.74315365,28.8275815,6.524358605,5.352973273,10.86797348,12.24906761
21,21,21,ST2010-2744,31544,9/23/2017,1/1/2022,1561,good,good,1,0,IP103,HSBF013,Blondie,no,st2010-2744,2744,OssiUnit,giraffa,angolensis,giraffa_angolensis,33S,32733,2,Namibia,NAM_Northwest,2017,Namibia_2017,9/23/2017,female,,12/31/2022,active,ST2010-2744,OUF anisotropic,1.536336001,6.351264085,36.13809102,37.64122863,36.88200301,14.34900333,14.51230088,14.43065528,9.438123634,14.89524368,29998.98916,7,0,2113.19253,3784.464072,5934.64613,14.89524368,23.17577107,2113.19253,3784.464072,5934.64613,14.89524368,23.17577107,0,28.33103306,9.24455766,0.118986186,0.037028838,0.077425857,0,0,0.284230781,0,0,0,0,0,0,0,0,0,0,0,0.638343362,0,0,Spare Vegetation,2.843498469,1.404347695,0.232633529,0.200897761,13.15108573,14.74815931,61.14470268,26.97065056,6.444369789,6.159681644,12.80417188,8.490765698
22,22,24,ST2010-2940,1998,4/13/2018,7/10/2018,88,good,unknown,1,Problematic variogram,IP103,Bogan,Bogan,yes,st2010-2940,2940,OssiUnit,camelopardalis,camelopardalis,camelopardalis_camelopardalis,33S,32733,3,Uganda,UGA_Kidepo,2018,KVNP_2018,4/13/2018,male,,7/10/2018,sudden failure,ST2010-2940,OUF anisotropic,3.701279834,6.591663945,40.07471213,47.21299014,43.49766648,16.53786724,17.29948416,16.91873445,12.19754148,20.56316318,1895.490347,7,0,146.3088038,237.7055669,350.9221743,20.56316318,35.02839281,146.3088038,237.7055669,350.9221743,20.56316318,35.02839281,1,26.42965932,4.799179345,0.68250981,0.063645311,0,0,0,0,0,0.042478761,0,0,0.701649175,0.231384308,0,0,0.010994503,0,0.013493253,0,0,0,Mosaic Croplands,9.859693578,3.743845294,8.38967007,2.702777522,14.65715716,10.41185317,0.059059059,0.329664274,12.74724725,4.591874115,23.98298298,3.612795198
23,23,25,ST2010-2951,28108,4/14/2018,1/1/2022,1358,good,good,1,0,IP103,Annie,Annie,no,st2010-2951,2951,OssiUnit,camelopardalis,camelopardalis,camelopardalis_camelopardalis,36N,32636,3,Uganda,UGA_Kidepo,2018,KVNP_2018,4/14/2018,female,,12/31/2022,active,ST2010-2951,OUF anisotropic,12.62507568,15.70954073,28.46686656,29.86725765,29.15865631,16.21371306,16.43108833,16.32240567,53.04811259,100.4277727,21659.13012,8,0,253.4988915,311.4174245,375.205808,100.4277727,300.3752755,253.4988915,311.4174245,375.205808,100.4277727,300.3752755,0.991260666,27.83459578,6.485458702,0.539247961,0.147637663,0,0,0,0,0,0.066639144,0,0,0.326624695,0.592562012,0,0,0.003646747,0,0.010527402,0,0,0,Mosaic ForestShrubland,7.578392222,4.247234794,14.8335947,10.78729333,12.17678227,9.137101396,0.050061932,0.331933653,12.33691164,3.920900816,23.43906551,3.539369102
24,24,26,ST2010-2945,7739,4/18/2018,3/26/2019,342,good,good,1,Okay,IP103,Giraffe_01,Murch_14_623,no,st2010-2945,2945,OssiUnit,camelopardalis,camelopardalis,camelopardalis_camelopardalis,36N,32636,3,Uganda,UGA_MurchisonFalls,2018,MFNP_2018,4/18/2018,female,,3/26/2019,sudden failure,ST2010-2945,OUF anisotropic,16.33831576,30.59493635,22.98202405,25.54433901,24.22933374,11.08948081,11.42847814,11.258997,11.45202868,17.8032289,4237.272633,22,0,157.9465048,267.3747082,405.1349937,17.8032289,31.42023994,157.9465048,267.3747082,405.1349937,17.8032289,31.42023994,0.999353922,27.52763975,4.23717389,0.587409717,0.144303337,0,0,0,0,0,0.248481716,0.016022742,0,0.625145368,0.003359607,0,0.078433906,0.028556661,0,0,0,0,0,Mosaic Croplands,8.33389778,3.501566818,42.24434208,36.12726586,16.64090968,13.7206233,0.51130637,0.951102304,9.822328466,4.049747217,17.56777361,3.12216173
25,25,27,ST2010-2946,3617,4/18/2018,10/11/2018,176,good,good,1,0,IP103,Giraffe_06,Murch_14_705,no,st2010-2946,2946,OssiUnit,camelopardalis,camelopardalis,camelopardalis_camelopardalis,33S,32733,3,Uganda,UGA_MurchisonFalls,2018,MFNP_2018,4/18/2018,female,,10/11/2018,voltage drop,ST2010-2946,OUF anisotropic,2.797393779,3.849746571,39.05369384,44.14691178,41.5222829,14.81532847,15.31088466,15.06313455,31.77328291,54.04458165,3549.124508,23,0,111.0876438,147.8554804,189.7988296,54.04458165,121.8386182,111.0876438,147.8554804,189.7988296,54.04458165,121.8386182,1,29.6641729,6.266966717,0.613123638,0.109132643,0,0,0,0.000276472,0,0.087918164,0,0,0.901299419,0.000829417,0,0.000276472,0.001382361,0,0.007741222,0,0,0.000276472,Mosaic Croplands,11.52666594,3.819362991,34.69601106,19.58770446,5.881946364,12.1861097,0.985899917,1.147848229,8.5980094,2.094788206,18.18744816,2.746624545
26,26,28,ST2010-2950,2071,4/18/2018,7/20/2018,93,good,good,1,Problematic variogram,IP103,Giraffe_04,Murch_15_932,no,st2010-2950,2950,OssiUnit,camelopardalis,camelopardalis,camelopardalis_camelopardalis,33S,32733,3,Uganda,UGA_MurchisonFalls,2018,MFNP_2018,4/18/2018,male,,7/20/2018,fell off,ST2010-2950,OUF anisotropic,11.89222604,46.53041099,41.7864903,48.93516751,45.21978441,13.22883393,13.81974799,13.52433522,4.888957033,7.003756947,2012.075915,26,0,240.4378797,597.8476066,1115.2109,7.003756947,8.926628034,240.4378797,597.8476066,1115.2109,7.003756947,8.926628034,0.999517141,29.21333978,5.566574039,0.699114541,0.089990529,0.006760019,0,0,0,0,0.113954611,0,0,0.768710768,0.006277161,0,0,0.092225978,0,0.00965717,0,0,0.002414293,Mosaic Croplands,11.93694328,3.364284385,61.53667819,61.39088769,15.71028489,34.78090272,0.926122646,1.593722099,10.399324,4.790225507,18.29357798,3.619959737
27,27,29,ST2010-2947,5280,4/18/2018,12/6/2018,232,good,good,1,0,IP103,Giraffe_02,Murch_14_498,no,st2010-2947,2947,OssiUnit,camelopardalis,camelopardalis,camelopardalis_camelopardalis,33S,32733,3,Uganda,UGA_MurchisonFalls,2018,MFNP_2018,4/18/2018,male,,12/6/2018,fell off,ST2010-2947,OUF anisotropic,6.064539471,9.297177806,40.54202324,44.78361293,42.61007248,15.32762906,15.75429512,15.5409822,20.02209291,32.53220611,5096.395118,24,0,230.9072841,336.432785,461.5045324,32.53220611,70.65456535,230.9072841,336.432785,461.5045324,32.53220611,70.65456535,0.999431818,30.03727238,5.66382621,0.64590875,0.090920437,0.001515152,0,0,0,0,0.15094697,0,0,0.773295455,0.010984848,0,0,0.061931818,0,0.000568182,0,0.000189394,0.000568182,Mosaic Croplands,12.37782984,4.71161927,41.35312661,26.99054351,13.64431818,22.60367091,1.005113636,1.28160828,10.13920455,4.706918661,19.03844697,3.806684863
28,28,30,ST2010-2943,1122,4/18/2018,6/4/2018,47,good,good,1,0,IP103,Giraffe_03,Murch_14_033,no,st2010-2943,2943,OssiUnit,camelopardalis,camelopardalis,camelopardalis_camelopardalis,33S,32733,3,Uganda,UGA_MurchisonFalls,2018,MFNP_2018,4/18/2018,female,,6/4/2018,voltage drop,ST2010-2943,OUF anisotropic,3.362646209,8.429146844,19.52855443,26.86833957,22.90632733,14.55113142,15.95115183,15.25135948,7.941570647,11.02465677,455.711304,21,0,47.99690448,96.06059649,160.5186696,11.02465677,18.59376528,47.99690448,96.06059649,160.5186696,11.02465677,18.59376528,1,29.65547576,6.859909419,0.69181426,0.076787366,0,0,0,0,0,0.156862745,0,0,0.823529412,0.000891266,0,0,0.018716578,0,0,0,0,0,Mosaic Croplands,9.41552363,3.465257804,33.15308044,8.849806237,5.008912656,4.374517776,1.116755793,1.234251369,8.36631016,2.308585868,18.91889483,2.62078759
